Uhrzeit;Netzbezug [kW];Netzeinspeisung [kW];Stromverbrauch [kW];Akkubeladung [kW];Akkuentnahme [kW];Stromerzeugung [kW];Akku Spannung [V];Akku Stromstärke [A]
01.05.2023 00:06:50;0;0,013778;0,46991;0;0,480788;0;50,299999;-7,46
01.05.2023 00:11:52;0,00291;0,010914;0,41035;0;0,416898;0;50,268002;-8,41
01.05.2023 00:16:54;0;0,010186;0,413261;0;0,423447;0;50,235001;-8,55
01.05.2023 00:21:56;0,005821;0,014551;0,427812;0;0,436543;0,00291;50,183998;-9,91
01.05.2023 00:26:58;0,001455;0,010914;0,480197;0;0,491111;0;50,141998;-9,82
01.05.2023 00:32:00;0,00291;0,012369;0,471466;0;0,47947;0;50,111;-9,75
01.05.2023 00:37:02;0;0,011641;0,424902;0;0,43436;0,00291;50,101002;-8,47
01.05.2023 00:42:04;0,001455;0,010914;0,40744;0;0,419081;0;50,070999;-8,42
01.05.2023 00:47:06;0;0,010186;0,416171;0;0,421991;0;50,042999;-8,4
01.05.2023 00:52:08;0,008731;0,016734;0,500569;0;0,5093;0;49,945999;-11,97
01.05.2023 00:57:10;0;0,010186;0,573326;0;0,582057;0,00291;49,893002;-11,64
01.05.2023 01:02:12;0;0,012369;0,552954;0;0,562413;0;49,873001;-10,3
01.05.2023 01:07:14;0,005821;0,013824;0,573326;0;0,579874;0;49,786999;-12,7
01.05.2023 01:12:17;0,00145;0,013053;0,614944;0;0,630898;0;49,737999;-10,63
01.05.2023 01:17:18;0,00438;0,01533;0,435073;0;0,441643;0,00292;49,757999;-9,83
01.05.2023 01:22:20;0;0,010914;0,477287;0;0,486745;0;49,720001;-9,77
01.05.2023 01:27:22;0,00291;0,011641;0,468556;0;0,477287;0;49,687;-9,7
01.05.2023 01:32:25;0,00145;0,012328;0,408996;0;0,422774;0,002901;49,666;-9,39
01.05.2023 01:37:26;0,00438;0,0146;0,379594;0;0,388354;0;49,652;-8,4
01.05.2023 01:42:29;0,004351;0,013053;0,4264;0;0,432927;0;49,592999;-10,19
01.05.2023 01:47:30;0;0,01387;0,440913;0;0,451863;0;49,615002;-6,18
01.05.2023 01:52:32;0,001455;0,010186;0,293939;0;0,30558;0,00291;49,612;-6,07
01.05.2023 01:57:33;0;0,01168;0,242356;0;0,251846;0;49,626999;-4,8
01.05.2023 02:02:35;0;0,010186;0,224092;0;0,232823;0;49,618;-4,69
01.05.2023 02:07:35;0;0,009521;0,222656;0;0,232178;0,00293;49,606998;-4,62
